file_id,file_name,tier,table_code,temporal_coverage,domain,key_dimensions,analytical_question,ml_use_case,relative_path
DIST_01_IPC,1DistrictwiseIPCCrimes2024.xlsx,Tier 1: District Core,District-IPC-2024,2024,Overall IPC / BNS Crimes,"Violent crime, bodily offenses, theft, robbery, dacoity, burglary, criminal breach of trust, kidnapping",Which administrative districts represent nationwide crime hotspots across violent vs property crime?,"Spatial clustering (K-Means, DBSCAN), Crime Severity Index, PCA dimensionality reduction",data/curated/district/1DistrictwiseIPCCrimes2024.xlsx
DIST_02_SLL,2DistrictwiseSLLCrimes2024.xlsx,Tier 1: District Core,District-SLL-2024,2024,Special & Local Laws (SLL),"Arms Act (firearms), NDPS Act (narcotics), POCSO, Excise & Prohibition, Gambling Act, IT Act","How does contraband, narcotics, and illegal firearms enforcement correlate with violent crime rates?","Correlation analysis, multi-variate regression (contraband predicting violent crime)",data/curated/district/2DistrictwiseSLLCrimes2024.xlsx
DIST_03_WOMEN,3DistrictwiseCrimeagainstWomen2024.xlsx,Tier 1: District Core,District-Women-2024,2024,Vulnerable Groups: Women,"Rape, sexual harassment, dowry deaths, domestic cruelty (Sec 498A), assault with intent to disrobe, age splits (<18 vs >=18)",What are the geographic clusters of gender-based violence and institutional reporting disparity?,"Women Vulnerability Index (WVI), geospatial risk zoning, K-Means clustering",data/curated/district/3DistrictwiseCrimeagainstWomen2024.xlsx
DIST_04_CHILDREN,4DistrictwiseCrimeagainstChildren2024.xlsx,Tier 1: District Core,District-Children-2024,2024,Vulnerable Groups: Children,"POCSO violations, child rape, procuration/selling of minors for prostitution, child kidnapping, child labor","Which district typologies (border, rural, industrial) display high concentrations of child exploitation?","Child Protection Vulnerability Scoring, hierarchical clustering, cross-district outlier detection",data/curated/district/4DistrictwiseCrimeagainstChildren2024.xlsx
DIST_05_SC,5DistrictwiseCrimeagainstSCs2024.xlsx,Tier 1: District Core,District-SC-2024,2024,Marginalized Demographics: SCs,"SC/ST Prevention of Atrocities Act violations, assault, murder, land dispossession against Scheduled Castes",Are caste atrocities structurally isolated in specific rural agrarian corridors or uniformly distributed?,"Spatial autocorrelation (Moran I), caste atrocity density modeling",data/curated/district/5DistrictwiseCrimeagainstSCs2024.xlsx
DIST_06_ST,6DistrictwiseCrimeagainstSTs2024.xlsx,Tier 1: District Core,District-ST-2024,2024,Marginalized Demographics: STs,Atrocities & offenses against Scheduled Tribes under PoA Act and IPC/BNS,How do crime profiles in Fifth/Sixth Schedule tribal districts compare against non-tribal districts?,"Comparative demographic statistical profiling, Mann-Whitney U testing",data/curated/district/6DistrictwiseCrimeagainstSTs2024.xlsx
DIST_07_JUVENILE_IPC,7DistrictwiseIPCCrimebyJuveniles2024.xlsx,Tier 1: District Core,District-JuvenileIPC-2024,2024,Youth Delinquency: IPC/BNS,156 IPC offenses committed by juveniles in conflict with law across all districts,What categories of crime (property vs violent) dominate youth offenses across major districts?,"Juvenile Delinquency Ratio (JDR = Juvenile Crimes / Total Crimes), clustering",data/curated/district/7DistrictwiseIPCCrimebyJuveniles2024.xlsx
DIST_09_CYBER,9DistrictwiseCyberCrimes2024.xlsx,Tier 1: District Core,District-Cyber-2024,2024,Digital / Tech-Enabled Crime,"IT Act offenses (tampering, hacking, cyber terrorism, obscene publication) and IPC cyber frauds",Is cybercrime confined to high-tech metropolitan districts or actively diffusing into rural districts?,"Diffusion modeling, cyber-to-physical crime ratio, anomaly detection (cyber crime hotspots like Jamtara/Nuh belts)",data/curated/district/9DistrictwiseCyberCrimes2024.xlsx
DIST_10_MISSING,10DistrictwiseMissingPersons2024.xlsx,Tier 1: District Core,District-Missing-2024,2024,Social Vulnerability: Missing Persons,"Missing children (<12, 12-16, 16-18) and adults by gender (proxy for unrecorded human trafficking)",Does missing child volume predict child kidnapping and human trafficking indicators across transit hubs?,"Trafficking Risk Proxy regression, Missing Children Gender Disparity Index",data/curated/district/10DistrictwiseMissingPersons2024.xlsx
METRO_01_TREND,TABLE1B16.xlsx,Tier 2: Metropolitan Analytical,TABLE 1B.1,2022-2024,Metropolitan Macro Trends & Policing Efficiency,"3-year IPC crime trends (2022, 2023, 2024), estimated mid-year population, crime rate, chargesheeting rate",Which metropolitan cities show accelerating crime rates vs improving police investigative efficiency (chargesheeting)?,"Compound Annual Growth Rate (CAGR) forecasting, 2D quadrant analysis (Crime Rate vs Chargesheeting Rate)",data/curated/metropolitan/TABLE1B16.xlsx
